Date,AveragePrice,Total.Volume,X4046,X4225,X4770,Total.Bags,Small.Bags,Large.Bags,XLarge.Bags,type,year,region
22/01/17,1.51,489345.23,18201.14,287008.11,58242.14,125893.84,114958.9,9387.36,1547.58,conventional,2017,Philadelphia
19/07/15,0.98,258559.32,167068.14,8930.71,11720.44,70840.03,62702.44,8131.55,6.04,conventional,2015,NewOrleansMobile
28/05/17,2.73,24852.33,10640.43,10979.17,8.75,3223.98,3201.3,22.68,0,organic,2017,SanFrancisco
28/05/17,2.09,5786.49,1322.11,165.26,6.12,4293,4070.95,222.05,0,organic,2017,Jacksonville
13/11/16,1.73,559978.64,64630.53,311687.85,28558.19,155102.07,153317.9,1348.06,436.11,conventional,2016,BaltimoreWashington
07/05/17,1.72,7509.16,343.02,2428.09,0,4738.05,2137.38,2600.67,0,organic,2017,Roanoke
06/09/15,0.99,248354.52,155273.07,18010.18,2204.32,72866.95,64673.2,8193.75,0,conventional,2015,NewOrleansMobile
10/05/15,1.66,37079.86,9690.74,22159.83,58.17,5171.12,0,5171.12,0,organic,2015,Seattle
01/03/15,1.82,6940.73,5.63,870.75,0,6064.35,6064.35,0,0,organic,2015,NorthernNewEngland
30/04/17,1.13,124926.39,2573.11,99451.52,81.89,22819.87,10547.36,12272.51,0,conventional,2017,Albany
20/11/16,1.35,167233.36,86431.23,23609.67,51,57141.46,44174.88,12726.58,240,conventional,2016,NewOrleansMobile
18/12/16,1.46,77030.91,2684.3,29491.7,1695.12,43159.79,28795.8,14363.99,0,organic,2016,Midsouth
12/07/15,1.51,72375.15,6846.13,34618.18,4080.75,26830.09,12329.8,14500.29,0,organic,2015,Midsouth
17/04/16,1.4,15920.25,417.29,9447.47,0,6055.49,1598.28,4457.21,0,organic,2016,CincinnatiDayton
01/02/15,0.94,309471.69,1621.68,240215.65,19211.54,48422.82,43899.75,4377.27,145.8,conventional,2015,GrandRapids
14/08/16,1.08,295535.64,129727.7,53954.55,6997.8,104855.59,63416.1,41439.49,0,conventional,2016,LasVegas
06/03/16,1.49,36774.58,736.06,35610.75,0,427.77,427.77,0,0,organic,2016,Chicago
25/12/16,0.89,473730.19,118030.19,191754.65,14438.25,149507.1,125660.66,22080.88,1765.56,conventional,2016,SanDiego
06/08/17,2.18,118098.82,18668.32,42686.77,0,56743.73,55680.44,1063.29,0,organic,2017,California
27/09/15,1.93,5374.57,6.05,263.94,0,5104.58,5104.58,0,0,organic,2015,NorthernNewEngland
